Algorithm,Dimension,Function,Control,Control_mean,Other_mean,Control_median,Other_median,Statistic,p_value,Relation
ABC,10,12,PDABC,266666666761090.4,33573.13333333333,155159.0,11466.0,840.0,8.48477290014798e-09,-
Co-PPSO,10,12,PDABC,266666666761090.4,1000000000000164.6,155159.0,1000000000000164.9,0.0,1.0959601025807445e-11,+
EA4eigN100_10,10,12,PDABC,266666666761090.4,1000000000000147.5,155159.0,1000000000000145.6,0.0,2.0614642264630705e-11,+
NL-SHADE-LBC,10,12,PDABC,266666666761090.4,1000000000000164.5,155159.0,1000000000000164.9,0.0,3.160214693348856e-12,+
NL-SHADE-RSP-MID,10,12,PDABC,266666666761090.4,1000000000000164.5,155159.0,1000000000000164.8,0.0,2.899069492047381e-11,+
NLSOMACLP,10,12,PDABC,266666666761090.4,1000000000000164.1,155159.0,1000000000000164.5,0.0,2.952404922596988e-11,+
S_LSHADE_DP,10,12,PDABC,266666666761090.4,1000000000000161.9,155159.0,1000000000000161.4,0.0,2.6554240276786378e-11,+
ZOCMAES,10,12,PDABC,266666666761090.4,1000000000000164.9,155159.0,1000000000000164.9,0.0,2.7897394248755596e-11,+
ABC,20,1,PDABC,60378.6,338270.2,60279.5,330837.5,0.0,3.019859359162157e-11,+
Co-PPSO,20,1,PDABC,60378.6,599911.3333333334,60279.5,630958.0,0.0,4.080594529244815e-12,+
EA4eigN100_10,20,1,PDABC,60378.6,161579.96666666667,60279.5,158490.0,0.0,1.7202510031315483e-12,+
NL-SHADE-LBC,20,1,PDABC,60378.6,113576.46666666666,60279.5,113798.0,0.0,3.019859359162157e-11,+
NL-SHADE-RSP-MID,20,1,PDABC,60378.6,327954.63333333336,60279.5,326573.5,0.0,3.019859359162157e-11,+
NLSOMACLP,20,1,PDABC,60378.6,474604.13333333336,60279.5,472890.0,0.0,3.019859359162157e-11,+
S_LSHADE_DP,20,1,PDABC,60378.6,566249.8666666667,60279.5,566513.0,0.0,3.0141849228072565e-11,+
ZOCMAES,20,1,PDABC,60378.6,200000000094002.3,60279.5,133834.0,60.0,8.345081857050866e-09,+
ABC,20,2,PDABC,1000000000000032.0,1000000000000005.9,1000000000000044.9,1000000000000004.5,703.5,0.0001724041184319086,-
Co-PPSO,20,2,PDABC,1000000000000032.0,1000000000000016.6,1000000000000044.9,1000000000000016.5,660.0,0.0018665949392237316,-
EA4eigN100_10,20,2,PDABC,1000000000000032.0,266666667129370.28,1000000000000044.9,630958.0,836.0,4.17851524616326e-09,-
NL-SHADE-LBC,20,2,PDABC,1000000000000032.0,1000000000000047.1,1000000000000044.9,1000000000000049.1,140.5,2.913715630883731e-07,+
NL-SHADE-RSP-MID,20,2,PDABC,1000000000000032.0,1000000000000008.9,1000000000000044.9,1000000000000000.4,741.5,1.4509067059729056e-05,-
NLSOMACLP,20,2,PDABC,1000000000000032.0,1000000000000035.1,1000000000000044.9,1000000000000049.1,285.0,0.010023240640845204,+
S_LSHADE_DP,20,2,PDABC,1000000000000032.0,100000000556764.47,1000000000000044.9,624858.0,876.0,2.677948496633157e-10,-
ZOCMAES,20,2,PDABC,1000000000000032.0,966666666671474.2,1000000000000044.9,1000000000000048.9,429.5,0.7640790406092299,=
ABC,20,3,PDABC,22127.9,21167.8,22221.0,21015.5,753.0,7.73643681370684e-06,-
Co-PPSO,20,3,PDABC,22127.9,833333333399684.6,22221.0,1000000000000000.0,0.0,5.143627116717606e-12,+
EA4eigN100_10,20,3,PDABC,22127.9,329545.8,22221.0,398108.0,0.0,1.4488452648547692e-11,+
NL-SHADE-LBC,20,3,PDABC,22127.9,156926.1,22221.0,156729.0,0.0,3.019859359162157e-11,+
NL-SHADE-RSP-MID,20,3,PDABC,22127.9,140853.5,22221.0,140640.0,0.0,3.019859359162157e-11,+
NLSOMACLP,20,3,PDABC,22127.9,249166.46666666667,22221.0,248828.0,0.0,3.019859359162157e-11,+
S_LSHADE_DP,20,3,PDABC,22127.9,209235.23333333334,22221.0,209506.0,0.0,3.017966798490446e-11,+
