Dimension,Function,Algorithm_A,Algorithm_B,Score_A,Score_B,Score_Sum
10,6,EA4eigN100_10,NL-SHADE-LBC,818.0,82.0,900.0
10,6,EA4eigN100_10,S_LSHADE_DP,882.0,18.0,900.0
10,6,EA4eigN100_10,NL-SHADE-RSP-MID,845.0,55.0,900.0
10,6,EA4eigN100_10,Co-PPSO,900.0,0.0,900.0
10,6,EA4eigN100_10,NLSOMACLP,891.0,9.0,900.0
10,6,NL-SHADE-LBC,S_LSHADE_DP,710.0,190.0,900.0
10,6,NL-SHADE-LBC,NL-SHADE-RSP-MID,493.0,407.0,900.0
10,6,NL-SHADE-LBC,Co-PPSO,900.0,0.0,900.0
10,6,NL-SHADE-LBC,NLSOMACLP,770.0,130.0,900.0
10,6,S_LSHADE_DP,NL-SHADE-RSP-MID,189.0,711.0,900.0
10,6,S_LSHADE_DP,Co-PPSO,900.0,0.0,900.0
10,6,S_LSHADE_DP,NLSOMACLP,571.0,329.0,900.0
10,6,NL-SHADE-RSP-MID,Co-PPSO,900.0,0.0,900.0
10,6,NL-SHADE-RSP-MID,NLSOMACLP,772.0,128.0,900.0
10,6,Co-PPSO,NLSOMACLP,0.0,900.0,900.0
10,7,PDABC,ABC,860.0,40.0,900.0
10,7,PDABC,ZOCMAES,806.0,94.0,900.0
10,7,PDABC,EA4eigN100_10,0.0,900.0,900.0
10,7,PDABC,NL-SHADE-LBC,0.0,900.0,900.0
10,7,PDABC,S_LSHADE_DP,0.0,900.0,900.0
10,7,PDABC,NL-SHADE-RSP-MID,0.0,900.0,900.0
10,7,PDABC,Co-PPSO,731.0,169.0,900.0
10,7,PDABC,NLSOMACLP,78.0,822.0,900.0
10,7,ABC,ZOCMAES,542.0,358.0,900.0
10,7,ABC,EA4eigN100_10,0.0,900.0,900.0
10,7,ABC,NL-SHADE-LBC,0.0,900.0,900.0
10,7,ABC,S_LSHADE_DP,0.0,900.0,900.0
10,7,ABC,NL-SHADE-RSP-MID,0.0,900.0,900.0
10,7,ABC,Co-PPSO,411.0,489.0,900.0
10,7,ABC,NLSOMACLP,3.0,897.0,900.0
10,7,ZOCMAES,EA4eigN100_10,60.0,840.0,900.0
10,7,ZOCMAES,NL-SHADE-LBC,60.0,840.0,900.0
10,7,ZOCMAES,S_LSHADE_DP,60.0,840.0,900.0
10,7,ZOCMAES,NL-SHADE-RSP-MID,60.0,840.0,900.0
10,7,ZOCMAES,Co-PPSO,366.0,534.0,900.0
10,7,ZOCMAES,NLSOMACLP,78.0,822.0,900.0
