Dimension,Function,Algorithm,MeanTrialValue_TR,CaseRank
20,9,S_LSHADE_DP,1000000000000180.8,6.0
20,9,ZOCMAES,1000000000000180.8,6.0
20,9,ABC,1000000000000335.9,9.0
20,10,ABC,1601.1333333333334,1.0
20,10,PDABC,3867.0,2.0
20,10,S_LSHADE_DP,154735.46666666667,3.0
20,10,NL-SHADE-RSP-MID,66666666802928.03,4.0
20,10,NLSOMACLP,1000000000000000.2,5.0
20,10,NL-SHADE-LBC,1000000000000100.1,6.0
20,10,EA4eigN100_10,1000000000000108.2,7.0
20,10,Co-PPSO,1000000000000117.5,8.0
20,10,ZOCMAES,1000000000000734.1,9.0
20,11,PDABC,59073.73333333333,1.0
20,11,ABC,136876.06666666668,2.0
20,11,S_LSHADE_DP,100000000442431.03,3.0
20,11,NLSOMACLP,200000000597255.0,4.0
20,11,NL-SHADE-RSP-MID,600000000178769.2,5.0
20,11,Co-PPSO,933333333350392.5,6.0
20,11,ZOCMAES,966666666671217.9,7.0
20,11,NL-SHADE-LBC,1000000000000303.4,8.0
20,11,EA4eigN100_10,1000000000000323.4,9.0
20,12,ABC,65507.36666666667,1.0
20,12,PDABC,900000000084092.5,2.0
20,12,Co-PPSO,1000000000000196.2,3.0
20,12,EA4eigN100_10,1000000000000199.6,4.0
20,12,S_LSHADE_DP,1000000000000233.9,5.0
20,12,NLSOMACLP,1000000000000236.4,6.0
20,12,NL-SHADE-LBC,1000000000000239.2,7.0
20,12,NL-SHADE-RSP-MID,1000000000000243.4,8.0
20,12,ZOCMAES,1000000000000248.4,9.0
